ds,yhat,yhat_lower,yhat_upper
2023-04-03,160.7015412634816,155.7745386127555,165.76358315501645
2023-04-04,160.90310810710275,154.88337820361613,166.24722062056597
2023-04-05,160.951223032243,155.39777735819786,166.56025495370648
2023-04-06,161.4437161263816,155.98864300392762,166.592329652856
2023-04-10,162.81291606482972,157.6792251223043,168.21857488821863
2023-04-11,163.01448307707733,157.7394963014485,168.5068810954377
2023-04-12,163.06259800221738,157.54781050254255,168.3561523377182
2023-04-13,163.55509109635574,157.76680660670485,168.48118242269956
2023-04-14,164.01793758861456,158.52720197884003,169.42979834687804
2023-04-17,164.92429103480424,159.52947931139627,170.44612145570184
2023-04-18,165.12593373105918,159.30163596667873,170.64303838732238
2023-04-19,165.17412434020594,160.01101013486576,170.44479628736664
2023-04-20,165.6666931183517,160.33829975666814,171.29566618072835
2023-04-21,166.12961529461717,161.01737625252295,171.29933853548164
2023-04-24,167.03619579282744,161.4344507280682,172.0881696232265
2023-04-25,167.23783848908303,161.62067056974723,172.71191609294036
2023-04-26,167.28602909823002,162.02000839231874,172.36292723240783
2023-04-27,167.77859787637573,162.24344370484582,172.77300834460505
2023-04-28,168.24411459699846,162.77005698619115,173.62723743660263
2023-05-01,169.15847872828127,163.93908795955508,174.5055932006971
2023-05-02,169.36271596889395,163.90238207708958,174.70432005734878
2023-05-03,169.4135011223986,163.9691370296925,175.07387859988035
2023-05-04,169.9086644449012,164.7696431670959,175.43200540646578
2023-05-05,170.37418116552536,164.874315924053,175.46582130168474
2023-05-08,171.288545296807,165.99748127849912,176.7385767729185
2023-05-09,171.49278253741969,165.78500740516282,176.98250530457793
2023-05-10,171.54360127769948,166.09687894569657,177.14432762045297
2023-05-11,172.03879818697703,166.83533267800627,177.24817640400042
2023-05-12,172.50434849437596,167.30538087058756,177.4669557667913
2023-05-15,173.41881338598324,168.15118833151965,178.70340197795798
2023-05-16,173.62308421337008,168.6264338707709,179.13066810125085
2023-05-17,173.67390295364976,168.36596895341486,179.41534052596137
2023-05-18,174.16909986292762,169.11926281668292,179.6782682183174
2023-05-19,174.63465017032658,169.44692418017965,179.46142527536412
2023-05-22,175.5491152057741,169.9632893789763,180.76251122555027
2023-05-23,175.75338608110795,170.14269078738332,180.9413690277586
2023-05-24,175.8042048693348,170.27492449298848,181.41496338838647
2023-05-25,176.29940182655977,170.5575549439857,181.96422049972247
2023-05-26,176.76495218190456,171.50079279613257,181.9410201653356
2023-05-30,177.88368809268778,172.26641486812176,183.21313768640775
2023-05-31,177.93450688091403,172.47330230268744,183.10722011490998
2023-06-01,178.4297038381392,173.35183547451288,184.0273469287224
2023-06-02,178.89525419352177,173.08608622780523,184.5966258995852
2023-06-05,179.80971922908313,174.29285895332424,185.16482327497036
2023-06-06,180.01399010445542,174.567185949319,185.38535892789827
2023-06-07,180.06480889271967,174.76011096088115,185.91324474351882
2023-06-08,180.56000584998236,175.24110687348735,185.91652013872317
2023-06-09,181.0255562053656,175.74443026167108,186.44685475865487
2023-06-12,181.94002124092663,176.2501004158275,187.19979254319858
2023-06-13,182.14429211629874,177.07473589406445,187.58606152072036
2023-06-14,182.19511090866783,176.9770074058135,187.5293126371925
2023-06-15,182.69030787003564,177.1621798090066,188.10153704522153
2023-06-16,183.15585822952218,177.23183664769448,188.30160072150346
2023-06-20,184.27459415687545,178.78667685365414,189.39172215899143
2023-06-21,184.3254129492445,178.50657644491207,190.1412578108772
2023-06-22,184.82060991061184,179.63642808974978,190.22179492777013
2023-06-23,185.28616027009883,179.95877450219203,190.5865797430959
2023-06-26,186.20062531797555,181.0565303059703,191.77359369364584
2023-06-27,186.3657975016318,180.86405369754542,191.79517380450085
2023-06-28,186.37751759817917,180.8424749369556,191.79109269514922
2023-06-29,186.8336158637256,181.56582691673356,191.99700296169374
2023-06-30,187.26006752739244,182.01777189184023,192.53545291551626
2023-07-03,188.05723648780494,182.877153785553,193.0918782361194
2023-07-05,188.23412876800887,182.9104117390413,193.35885860062146
2023-07-06,188.69022703355537,183.40603353818943,194.29073924012076
2023-07-07,188.90598925583117,183.8699213478825,194.10431736332055
2023-07-10,189.07108989207126,183.70310787986432,194.46123184798654
2023-07-11,189.02557263433673,184.01545028089149,193.90334024784508
2023-07-12,188.82660328949336,183.72943690974284,194.12304424456076
2023-07-13,189.07201211364844,183.60509192914157,194.98336564821932
2023-07-14,189.28777433592518,183.70903858852122,195.00974058023604
2023-07-17,189.4528749721646,183.9158916280455,194.55223227615556
2023-07-18,189.40735771443008,184.20482201450818,194.73820643772154
2023-07-19,188.9637812987237,183.45344581119124,194.25782944096807
2023-07-20,188.96458305201512,183.75628326137297,194.10957798212388
2023-07-21,188.93573820342823,183.68927015314532,194.4378743760708
2023-07-24,188.36701762707818,183.26197740829573,193.55781742080526
2023-07-25,188.07689329847923,182.22156587520098,193.2683027205937
2023-07-26,187.6333168827728,182.45100557972043,193.0325764788377
2023-07-27,187.63411863606464,182.5917445169157,192.961453633497
2023-07-28,187.6052737874778,182.10000446754617,193.36758839846024
2023-07-31,186.95595683799962,181.7806532448757,192.43619251165734
2023-08-01,186.63896705169157,181.31775468719997,191.82116878615028
2023-08-02,186.1685251782763,180.4688027214212,191.4680735494566
2023-08-03,186.14246147385873,180.25252260433206,191.49757432075776
2023-08-04,186.0867511675619,181.07965537945722,191.30924256532865
2023-08-07,185.43743421808492,179.9948909192502,191.07900138555908
2023-08-08,185.1204444317767,179.7401212501292,190.75387639432913
2023-08-09,184.6500025583616,178.99920129721406,190.03817702212896
2023-08-10,184.6239388391274,179.2940390718569,190.0645646108702
2023-08-11,184.5682285180137,179.01929254514414,189.43918505044965
2023-08-14,183.91891152408493,178.69931963167255,189.67410129531436
2023-08-15,183.60192172296112,178.3283317624635,188.66979699268978
2023-08-16,183.1314798347286,177.43203411792933,188.62856365390346
2023-08-17,183.10541611549473,177.6177237994246,188.576224101385
2023-08-18,183.0497057943806,177.58790503739883,188.48604509207195
2023-08-21,182.40038880045202,177.44810478199153,187.60892547789564
2023-08-22,182.0833991384753,177.27179757170876,186.8123116126118
2023-08-23,181.61295738939,176.0601301779852,186.89421955522866
2023-08-24,181.58689380930346,176.36274143358918,186.93461548924336
2023-08-25,181.53118362733738,176.03006657542943,186.7044003166513
2023-08-28,180.8818670508498,175.39841763929357,186.1268848503168
2023-08-29,180.56487738887267,174.7346977614558,185.86375770645105
2023-08-30,180.09443563978766,174.6217013184619,185.50516070353632
2023-08-31,180.06837205970092,174.8158874511676,185.1507483185282
2023-09-01,180.0126618771286,174.687718029427,185.40787313777602
2023-09-05,179.04635563623927,173.576901034199,184.56807154055087
2023-09-06,178.57591388654708,173.24318917965303,184.11240768876243
2023-09-07,178.54985030585368,173.07221354705658,184.21181944102028
2023-09-08,178.49414012328154,173.43759391192188,183.7154387431233
2023-09-11,177.84482354497607,172.72431945735244,183.20483420846563
2023-09-12,177.52783388239203,172.20706990437404,182.41376705653607
2023-09-13,177.05739213270013,171.69710734136788,181.9503369387011
2023-09-14,177.03133051395466,171.41498983238924,182.10272196207805
2023-09-15,176.9756222933301,171.50498342056153,182.4818297656213
2023-09-18,176.32631160086615,171.01452376946688,181.90351656319396
2023-09-19,176.00932390023058,170.74135533277422,181.4333040056479
2023-09-20,175.53888411248602,170.31722992358354,180.8173994700297
2023-09-21,175.51282249374063,170.2370966315392,181.1553969538598
2023-09-22,175.45711427311497,170.06825353907954,180.65512554398038
2023-09-25,174.80780358065223,169.62724840154314,180.3550763432496
2023-09-26,174.66424594631982,169.23976703688837,180.03559393990759
2023-09-27,174.3672362248792,168.74579681540683,179.63837218282407
2023-09-28,174.5146046724373,169.5050222559688,179.82613680558612
2023-09-29,174.63232651811597,169.21314150155658,180.17506690397957
2023-10-02,174.50330602456268,169.05814080303227,179.69707743949087
2023-10-03,174.35974839023032,169.14956433124502,179.98936992017238
2023-10-04,174.0627386687899,168.62901534559822,179.57822482923726
2023-10-05,174.2101071163481,168.903600169126,179.41697121141587
2023-10-06,174.51147965388364,169.47921428793987,179.75003661748664
2023-10-09,174.9334112359024,169.77956468131367,180.1618591195158
2023-10-10,174.97350429342632,169.53158898294845,180.13505432667444
2023-10-11,174.8601452638428,169.7137619607286,180.41011542262805
2023-10-12,175.19116440325837,169.86830961370305,180.32277431245546
2023-10-13,175.49253694079243,170.55806255960363,180.53430249506337
2023-10-16,175.91446852281197,170.46490195095782,181.14625020338093
2023-10-17,175.9545615803359,170.7444467960147,181.1657207770068
2023-10-18,176.00030120899,171.04402754630308,181.7484657855444
2023-10-19,176.49041900664216,171.07241327148827,182.1408450915722
2023-10-20,176.95089020241446,171.64807601294547,182.07171371264965
2023-10-23,177.85011775914603,172.54952928183974,183.34228444097445
2023-10-24,178.04930947490826,172.5284596490837,183.13332803605215
2023-10-25,178.09504910356173,172.8764212656836,183.77683020650716
2023-10-26,178.58516690121428,173.41266135442817,184.23813606138688
2023-10-27,179.0456380969866,173.60274012671007,184.44684651519614
2023-10-30,180.18943408224573,174.87004967061495,185.65261822290128
2023-10-31,180.47014860751736,174.9618700429955,185.52707477429448
2023-11-01,180.5974110456806,175.03422975865288,186.25298742719647
2023-11-02,181.16905165284226,175.7663323738606,186.62588901438522
2023-11-03,181.71104565812456,176.454057757041,186.48305832876187
2023-11-06,182.85484164338342,177.58884397271834,188.52272229487446
2023-11-07,183.1355561686549,177.4948104817166,188.39615703508085
2023-11-08,183.2628186068181,177.61915558379278,188.3333707667475
2023-11-09,183.83445918059894,178.52465886405304,188.97489907909278
2023-11-10,184.37645315250137,179.14338035898524,189.82459038288994
2023-11-13,185.52024903761725,180.06922856907875,191.0704900796435
2023-11-14,185.8009635295088,180.5577244905759,191.30285128275727
2023-11-15,185.92822593429162,180.10991932056115,190.974903578442
2023-11-16,186.49986650807236,181.28070559114425,192.0263738898104
2023-11-17,187.0418604799746,181.67393037501998,192.63048632815907
2023-11-20,188.1856563650919,182.8291760220633,193.15579659036305
2023-11-21,188.12266143534623,182.64642121373117,193.57252771680632
2023-11-22,187.90621441849322,182.70156063201458,193.3445270386123
2023-11-24,188.3324301209054,182.96405698491878,193.62010285781218
2023-11-27,188.44509774111398,183.40004391399128,194.1343577881749
2023-11-28,188.38210281136838,183.0499444004751,194.17826614587585
2023-11-29,188.1656557945156,182.59717635999152,193.33235827636153
2023-11-30,188.39358694666123,183.48271118947278,193.5332184239078
2023-12-01,188.59187149692625,183.45427871832842,193.86359073457032
2023-12-04,188.70453911713648,183.476304249321,194.15221358398486
2023-12-05,188.64154418739088,182.99495683703535,193.97134679553292
2023-12-06,188.42509717053815,183.04438174910993,193.58007081417458
2023-12-07,188.65302832268338,183.2870407913817,194.00136692313723
2023-12-08,188.851312872949,183.7399980199395,194.4626345656585
2023-12-11,188.96398049315897,183.76052556042723,194.54676020929253
2023-12-12,188.90098556341366,184.11907261396814,194.0004390825231
2023-12-13,188.68453854656053,183.23134172960272,194.32286171813047
2023-12-14,188.9124696987061,183.40010535065355,194.523435996828
2023-12-15,189.1107542489713,183.57650687272914,194.6922763778742
2023-12-18,189.22342186918064,183.91425963109754,194.40064254379953
2023-12-19,189.1604269394362,183.46379059292846,194.64616433667643
2023-12-20,188.94397992258288,183.71985380574029,194.0995753878277
2023-12-21,189.17191107472857,183.99344970427788,194.5058146820222
2023-12-22,189.37019562499358,184.1868003272474,195.12168013576786
2023-12-26,189.4198683154583,184.20632930954866,195.41408284975316
2023-12-27,189.20342129860524,183.52125322646435,194.46515649364994
2023-12-28,189.43135245075035,184.07577588870683,194.87863177448588
2023-12-29,189.62963700101685,184.44836626123322,194.64183354679489
2024-01-02,189.67930969148125,184.52458491929292,194.95151288664516
2024-01-03,189.46286267462756,184.03427357314752,194.70768360023
2024-01-04,189.69079382677282,184.174508206,195.14714293326108
2024-01-05,189.88907837703866,184.3103010962675,195.17480379895056
2024-01-08,190.00174599724855,184.97512457850218,194.95633373113438
2024-01-09,189.9387510675036,184.46541618867516,195.2494420368184
2024-01-10,189.72230405065,184.41842657769243,195.6610758895586
2024-01-11,189.95023520279557,184.28118359721617,195.13046386035617
2024-01-12,190.14851975306095,184.28795073859524,195.16042114046047
2024-01-16,190.19819244352593,184.66506824918173,195.41769706901457
2024-01-17,189.98174542667235,184.65752561648966,195.27466945452568
2024-01-18,190.209676578818,185.26442400030226,195.37136848839197
2024-01-19,190.40796112908322,184.58639602060708,195.55107111883095
2024-01-22,190.52062874929268,185.13248624788045,195.60646481975007
2024-01-23,190.45763381954805,184.9907261931979,195.68357973902684
2024-01-24,190.24118680269487,184.98936055241236,196.00033059016724
2024-01-25,190.46911795484075,185.48304342142455,195.71408836733934
2024-01-26,190.667402505106,185.2395789777884,196.66791208636036
2024-01-29,190.780070125316,185.0850292075756,196.07380800415476
2024-01-30,190.71707519557017,185.17462646163813,196.12557567710297
2024-01-31,190.50062817871728,185.33970921258694,195.97296945513028
2024-02-01,190.72855933086197,185.22266195450518,196.30753299544094
2024-02-02,190.92684388112878,185.6589981820618,196.66228819027793
2024-02-05,191.03951150133852,185.38965508199504,196.24398589336118
2024-02-06,190.97651657159253,185.49301798652127,196.57747713523128
2024-02-07,190.76006955473966,185.49599590427792,196.1262252548855
2024-02-08,190.98800070688472,185.61711138131454,196.5597920652355
2024-02-09,191.1862852571501,185.8372972533159,196.40854999698126
2024-02-10,191.59072768014664,185.98994775927073,197.49455639654306
2024-02-11,191.62779045148443,185.88239548642167,197.23153933716225
2024-02-12,191.29895287736016,185.88533629820245,196.5903859338984
2024-02-13,191.23595794761485,186.01754526189575,196.32445810934973
2024-02-14,191.01951093076195,185.37723116398269,196.46608865010344
2024-02-15,191.24744208290716,185.8379394473063,196.45190869470161
2024-02-16,191.44572663317237,185.8455809136074,196.5648823060449
2024-02-17,191.85016905616902,185.792934577994,196.85006015932643
2024-02-18,191.8872318275068,186.6961182834277,197.4601870497012
2024-02-19,191.55839425338266,186.03200601117283,197.34234496808264
2024-02-20,191.4953993236378,185.794977577604,196.80894551761045
2024-02-21,191.2789523067843,185.8865400454515,196.93882288807885
2024-02-22,191.5068834589299,185.5235041122783,197.24774555467488
2024-02-23,191.70516800919563,186.38021510753362,197.53417569164463
2024-02-24,192.10961043219143,186.350506321519,197.45786600025622
2024-02-25,192.14667320353,186.3530295331271,197.66832582696142
2024-02-26,191.81783562940475,186.49650285832053,197.2976993434023
2024-02-27,191.75484069965995,185.78375842987984,197.2408736824802
2024-02-28,191.5383936828069,185.89482648448927,197.08388837991896
2024-02-29,191.76632483495237,185.7252908045181,197.36469476331834
2024-03-01,191.96460938521795,186.1356354698261,197.78030286836037
2024-03-02,192.3690518082131,187.3402932214224,197.7651646492682
2024-03-03,192.4061145795524,186.48156136538103,198.37858717022579
2024-03-04,192.07727700542728,186.36714776972423,198.5144766392441
2024-03-05,192.01428207568247,186.28589112199796,198.16593817570285
2024-03-06,191.79783505882932,185.6807598658063,197.88035997002098
2024-03-07,192.02576621097418,185.91364123876193,198.09482735454833
2024-03-08,192.2240507612407,186.03132455091244,198.63351388291207
2024-03-09,192.62849318423605,186.6585258285597,198.63280650804708
